Price;Close;High;Low;Open;Volume
Ticker;TSLA;TSLA;TSLA;TSLA;TSLA
Date;;;;;
2015-10-12 00.00.00;15,13399982;15,3653326;14,07533264;14,86600018;289363500
2015-10-19 00.00.00;13,93933296;15,40999985;13,46666718;15,10000038;429301500
2015-10-26 00.00.00;13,79533291;14,47333336;13,59266663;14,09200001;238249500
2015-11-02 00.00.00;15,49066734;15,63866711;13,81466675;13,92800045;478933500
2015-11-09 00.00.00;13,81266689;15,53266716;13,76799965;15,53266716;272428500
2015-11-16 00.00.00;14,66733265;15,07933331;13,72000027;13,73933315;221866500
2015-11-23 00.00.00;15,44066715;15,48333263;14,31200027;14,48999977;164200500
2015-11-30 00.00.00;15,35866737;15,90666676;15,17733288;15,45266724;223327500
2015-12-07 00.00.00;14,46800041;15,7086668;14,44266701;15,18000031;213450000
2015-12-14 00.00.00;15,36400032;15,850667;14,32466698;14,50066662;247329000
2015-12-21 00.00.00;15,37133312;15,77000046;15,2086668;15,4460001;92665500
2015-12-28 00.00.00;16,00066757;16,24200058;15,03600025;15,43266678;160807500
2016-01-04 00.00.00;14,0666666;15,42533302;14,05133343;15,38133335;314631000
2016-01-11 00.00.00;13,66600037;14,2966671;12,8920002;14,26733303;350685000
2016-01-18 00.00.00;13,50333309;14,03133297;12,75;13,91399956;242514000
2016-01-25 00.00.00;12,74666691;13,57133293;12,16066742;13,33733273;280878000
2016-02-01 00.00.00;10,84000015;13,30133343;10,51599979;12,58399963;492384000
2016-02-08 00.00.00;10,06933308;10,88399982;9,40333271;10,47333336;747889500
2016-02-15 00.00.00;11,10533333;11,52999973;10,27400017;10,57999992;273990000
2016-02-22 00.00.00;12,68933296;12,80000019;11,18933296;11,34133339;423838500
2016-02-29 00.00.00;13,40266705;13,60200024;12,10000038;12,82666683;410875500
2016-03-07 00.00.00;13,83333302;14,2193327;13,15999985;13,17866707;318784500
2016-03-14 00.00.00;15,51599979;15,63199997;14,04266739;14,17666721;288864000
2016-03-21 00.00.00;15,1833334;15,99199963;14,33333302;15,68933296;293002500
2016-03-28 00.00.00;15,83933258;16,52666664;15;15,44066715;539751000
2016-04-04 00.00.00;16,67133331;17,95599937;16;16,6079998;770244000
2016-04-11 00.00.00;16,96733284;17,26600075;16,24200058;16,73333359;416026500
2016-04-18 00.00.00;16,91666794;17,22066689;16,08333206;16,81533241;335886000
2016-04-25 00.00.00;16,05066681;17,15866661;15,85400009;16,86733246;270490500
2016-05-02 00.00.00;14,32866669;16,21266747;13,8739996;16,10000038;506799000
2016-05-09 00.00.00;13,84066677;14,40999985;13,57733345;14,38133335;307233000
2016-05-16 00.00.00;14,68533325;14,7033329;13,60133266;13,87666702;409258500
2016-05-23 00.00.00;14,86933327;15,06200027;14,3453331;14,65799999;284487000
2016-05-30 00.00.00;14,59933281;14,98333263;14,45933342;14,86933327;150502500
2016-06-06 00.00.00;14,58600044;16,05666733;14,36333275;14,53333282;374307000
2016-06-13 00.00.00;14,36466694;15,05133343;14,16866684;14,63333321;243519000
2016-06-20 00.00.00;12,87666702;14,91666698;12,64866734;14,63333321;734761500
2016-06-27 00.00.00;14,4333334;14,54933262;12,52466679;12,72399998;444837000
2016-07-04 00.00.00;14,45199966;14,65400028;13,86666679;13,98200035;266730000
2016-07-11 00.00.00;14,69333267;15,16666698;14,63399982;14,66399956;277173000
2016-07-18 00.00.00;14,81799984;15,31999969;14,55333328;14,64266682;241561500
2016-07-25 00.00.00;15,65266705;15,68533325;14,75800037;14,81799984;244494000
2016-08-01 00.00.00;15,33533287;15,7753334;14,76000023;15,69999981;287860500
2016-08-08 00.00.00;15,04066658;15,43599987;14,89400005;15,19999981;157561500
2016-08-15 00.00.00;15;15,30000019;14,81933308;15,06799984;141937500
2016-08-22 00.00.00;14,66600037;15,23266697;14,5880003;14,94466686;201331500
2016-08-29 00.00.00;13,18533325;14,69333267;13,07999992;14,67666721;354483000
2016-09-05 00.00.00;12,96466732;13,76666737;12,91333294;13,26799965;227496000
2016-09-12 00.00.00;13,69333267;13,71333313;12,89666653;13;236161500
2016-09-19 00.00.00;13,82999992;14,01200008;13,43733311;13,80000019;189474000
2016-09-26 00.00.00;13,60200024;14,0666666;13,30333328;13,76666737;197539500
2016-10-03 00.00.00;13,10733318;14,37800026;13,05333328;14,15333271;294229500
2016-10-10 00.00.00;13,100667;13,60933304;13,08666706;13,42333317;215698500
2016-10-17 00.00.00;13,33933258;13,77733326;12,80000019;13,13666725;378631500
2016-10-24 00.00.00;13,33133316;14,24666691;13,32199955;13,39999962;423048000
2016-10-31 00.00.00;12,70400047;13,49933338;12,39733315;13,49933338;357070500
2016-11-07 00.00.00;12,57066727;13,16600037;12,02799988;12,90600014;390744000
